"driverId","driverExpYears","qualiResultPosition","meanPace","maxPace","grid_penalty","is_top_5"
821,3,13,108673,108748,1,"FALSE"
822,3,8,108061.666666667,108655,0,"FALSE"
825,2,12,108642.5,108800,0,"FALSE"
826,2,19,109058,109058,0,"FALSE"
828,2,20,109071,109071,0,"FALSE"
830,1,2,107487.666666667,108407,0,"FALSE"
831,1,17,108949,108949,1,"FALSE"
832,1,15,108957,109038,1,"FALSE"
835,0,14,108894.5,108901,1,"FALSE"
836,0,16,108937,109320,1,"FALSE"
839,0,18,109050,109050,1,"FALSE"
1,9,1,81495.6666666667,81854,0,"TRUE"
3,10,2,81973,82497,0,"TRUE"
4,15,13,83528,83783,1,"FALSE"
8,15,4,82616.6666666667,83217,0,"TRUE"
13,14,11,83228,83489,0,"FALSE"
18,16,15,83532.5,83666,1,"FALSE"
20,9,3,82441.3333333333,83077,0,"TRUE"
154,7,12,83256.5,83421,1,"FALSE"
807,6,9,83015.3333333333,83259,0,"FALSE"
815,5,8,83058.3333333333,83439,0,"FALSE"
817,5,6,82728.3333333333,83158,0,"TRUE"
821,3,10,83142,83386,0,"FALSE"
822,3,5,82717,83264,0,"FALSE"
825,2,21,84436,84436,0,"FALSE"
826,2,17,83825,83825,1,"FALSE"
828,2,19,84087,84087,0,"FALSE"
830,1,7,82832.3333333333,83229,0,"FALSE"
831,1,18,83956,83956,0,"FALSE"
832,1,16,83578.5,83661,1,"FALSE"
835,0,20,84230,84230,0,"FALSE"
836,0,14,83537.5,83760,1,"FALSE"
1,9,3,103975.333333333,105167,0,"TRUE"
3,10,1,103640,105316,0,"TRUE"
4,15,9,104859.666666667,105373,0,"FALSE"
8,15,5,104221,104964,0,"TRUE"
13,14,12,105523.5,106056,1,"FALSE"
18,16,13,105203,105262,1,"FALSE"
20,9,22,109116,109116,0,"TRUE"
154,7,15,105666,105723,1,"FALSE"
807,6,8,105099,106081,0,"FALSE"
815,5,10,104829.666666667,105204,1,"FALSE"
817,5,2,103767.666666667,104255,0,"TRUE"
821,3,14,105529,105593,1,"FALSE"
822,3,11,105413,106086,1,"FALSE"
825,2,17,106825,106825,1,"FALSE"
826,2,7,104745,105291,0,"FALSE"
828,2,16,107127,107827,1,"FALSE"
830,1,4,104158.666666667,105036,0,"FALSE"
831,1,18,106860,106860,1,"FALSE"
832,1,6,104729.666666667,105499,0,"FALSE"
835,0,19,106960,106960,1,"FALSE"
836,0,20,107667,107667,1,"FALSE"
839,0,21,108296,108296,0,"FALSE"
1,9,1,93446.6666666667,94444,0,"FALSE"
3,10,2,93777.6666666667,94460,0,"TRUE"
4,15,22,97155,97155,0,"FALSE"
8,15,6,94030.3333333333,94556,0,"TRUE"
